Class,ensembl_gene_id,ensembl_transcript_id,TPM.AM,TPM.OF,TPM.IBM,TPM.IAM,TPM.SAM6D,TPM.SAM17D,TPM.SAM38D,TPM.RootTip,TPM.Callus,TPM.Hypocotyl,TPM.Cotyledon,TPM.Leaf,TPM.Root,TPM.Nodule,UniPro_Ids,class_9FAMILY_BASED,Function.y,Function2,Notes,Paralog,Corresponding_Wm82.a4.v1,Corresponding_Wm82.a1.v1.1
,GLYMA_02G065300,KRH70053,7.99882,6.497067,11.836297,7.759699,13.173016,15.326832,6.586761,3.848179,4.667032,4.642003,1.251193,2.261619,3.118045,2.25109,I1JCY8,AFB2/3,AFB/TIR1,AFB2/3,NA,NA,NA,NA
,GLYMA_02G152800,KRH71533,0,0,0,0,0,0,0,0.555477,0,0.678318,0,12.73833,6.077747,3.294737,NA,TIR1,AFB/TIR1,TIR1,General: anthyng in this table is present in the Gm tree used for ASPB,NA,NA,NA
,GLYMA_02G152800,KRH71534,22.069192,16.181094,22.849022,21.004047,29.352679,33.91753,17.176745,12.164769,17.838179,20.202937,15.200032,0,0,0,I1JFG2,TIR1,AFB/TIR1,TIR1,General: anthyng in this table is present in the Gm tree used for ASPB,NA,NA,NA
,GLYMA_03G209400,KRH68108,25.967032,26.377921,20.719333,14.286116,28.476275,25.128377,20.548182,9.445604,11.542469,20.867913,22.549691,26.686917,5.465411,1.007309,I1JQG9,TIR1,AFB/TIR1,TIR1,NA,NA,NA,NA
,GLYMA_04G093500,KRH62206,20.846527,19.458989,18.43125,12.747583,21.089969,25.708671,15.267589,4.329313,8.446758,16.720706,4.938035,5.368235,9.993343,1.344543,I1JV53,AFB4/5,AFB/TIR1,AFB4/5,NA,NA,NA,NA
,GLYMA_06G095400,KRH52925,16.624289,16.028732,13.117567,15.517072,17.568729,22.163578,11.157726,3.675868,12.838756,17.361197,9.842971,8.101368,7.946719,7.208545,I1K9P6,AFB4/5,AFB/TIR1,AFB4/5,NA,NA,NA,NA
,GLYMA_07G189800,KRH49940,0,0,0,4.600346,0,0,0,0,0,0,0,7.63648,7.12717,0,NA,AFB6,AFB/TIR1,AFB6,According to the following: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8395167/#!po=12.5000,NA,NA,NA
,GLYMA_07G189800,KRH49942,9.809111,7.427073,11.728325,0,10.762178,10.321525,3.863775,4.097942,4.64186,5.47683,5.729744,0,0,2.369101,I1KLC7,AFB6,AFB/TIR1,AFB6,According to the following: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8395167/#!po=12.5000,NA,NA,NA
,GLYMA_07G189800,KRH49941,4.92877,12.740637,1.21619,4.609431,1.775044,8.691558,4.775848,1.051947,10.969952,7.223838,2.402663,0,0,0,NA,AFB6,AFB/TIR1,AFB6,According to the following: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8395167/#!po=12.5000,NA,NA,NA
,GLYMA_08G059500,KRH41935,5.501187,12.771654,7.685747,3.972987,5.330102,6.733757,3.175725,3.6447,7.216619,13.222675,1.96373,2.9511,2.873463,0.301663,I1KQQ6,AFB6,AFB/TIR1,AFB6,According to the following: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8395167/#!po=12.5000,NA,NA,NA
,GLYMA_08G059500,KRH41936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AFB6,AFB/TIR1,AFB6,According to the following: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8395167/#!po=12.5000,NA,NA,NA
,GLYMA_10G021500,KRH31921,19.724328,16.170619,18.503468,18.096732,12.243954,22.316362,15.443247,10.239295,25.621399,14.635121,14.506518,26.106051,5.641934,3.205496,K7LGY5,TIR1,AFB/TIR1,TIR1,NA,NA,NA,NA
,GLYMA_10G021500,KRH31923,14.419899,9.741531,12.735183,6.79071,28.663983,21.325627,11.737596,6.157738,3.718783,17.203871,17.688606,4.726063,2.093318,0,I1L7Y2,TIR1,AFB/TIR1,TIR1,NA,NA,NA,NA
,GLYMA_10G021500,KRH31922,5.583207,2.081541,2.213239,2.888177,6.671513,2.120712,3.06452,0.666973,2.413944,1.27964,0.908393,4.888901,0.668685,0.259648,NA,TIR1,AFB/TIR1,TIR1,NA,NA,NA,NA
,GLYMA_11G227300,KRH31107,18.068083,11.595375,30.443669,28.796279,14.48028,16.82458,9.490509,4.930592,42.501074,21.024339,21.328044,12.497006,20.49473,6.948547,Q45FY8,COI1-A,AFB/TIR1,COI1-A,NA,NA,NA,NA
